P2	P2_age	foxyear	julian	type	repryear
0	0	2008	13	pl.scars	2008
1	2	2009	44	pl.scars	2009
1	1	2008	44	pl.scars	2008
1	5	2013	9	pl.scars	2013
1	5	2013	37	pl.scars	2013
0	2	2013	39	pl.scars	2013
1	2	2013	32	pl.scars	2013
1	8	2013	48	pl.scars	2013
1	4	2010	39	pl.scars	2010
0	0	2010	47	pl.scars	2010
0	0	2014	13	pl.scars	2014
0	0	2010	17	pl.scars	2010
0	0	2015	60	pl.scars	2015
0	0	2015	15	pl.scars	2015
1	1	2015	52	pl.scars	2015
1	2	2015	56	pl.scars	2015
0	0	2010	41	pl.scars	2010
1	2	2010	50	pl.scars	2010
0	0	2010	45	pl.scars	2010
0	0	2010	19	pl.scars	2010
0	0	2010	28	pl.scars	2010
0	0	2010	28	pl.scars	2010
0	0	2010	49	pl.scars	2010
0	1	2010	14	pl.scars	2010
0	1	2010	19	pl.scars	2010
0	5	2009	31	pl.scars	2009
0	0	2010	51	pl.scars	2010
0	0	2004	26	pl.scars	2004
0	0	2005	57	pl.scars	2005
1	5	2005	24	pl.scars	2005
0	3	2005	52	pl.scars	2005
0	2	2005	30	pl.scars	2005
1	2	2005	60	pl.scars	2005
0	0	2005	48	pl.scars	2005
1	4	2005	52	pl.scars	2005
0	2	2005	34	pl.scars	2005
1	3	2005	57	pl.scars	2005
1	1	2005	45	pl.scars	2005
0	0	2005	56	pl.scars	2005
0	1	2006	4	pl.scars	2006
1	3	2006	41	pl.scars	2006
0	0	2006	15	pl.scars	2006
0	0	2006	19	pl.scars	2006
1	5	2006	59	pl.scars	2006
1	2	2006	34	pl.scars	2006
0	0	2006	29	pl.scars	2006
0	1	2006	5	pl.scars	2006
0	1	2006	58	pl.scars	2006
1	2	2006	53	pl.scars	2006
0	0	2006	32	pl.scars	2006
0	0	2006	4	pl.scars	2006
0	0	2006	30	pl.scars	2006
1	4	2006	43	pl.scars	2006
1	4	2006	52	pl.scars	2006
0	0	2006	55	pl.scars	2006
1	8	2006	25	pl.scars	2006
0	0	2006	3	pl.scars	2006
1	3	2006	46	pl.scars	2006
0	0	2006	13	pl.scars	2006
0	1	2006	51	pl.scars	2006
1	6	2006	53	pl.scars	2006
0	0	2006	34	pl.scars	2006
0	0	2006	45	pl.scars	2006
1	1	2006	41	pl.scars	2006
1	5	2006	38	pl.scars	2006
1	1	2006	2	pl.scars	2006
0	0	2007	56	pl.scars	2007
0	0	2007	53	pl.scars	2007
0	0	2007	60	pl.scars	2007
0	0	2007	9	pl.scars	2007
0	0	2007	34	pl.scars	2007
0	0	2007	48	pl.scars	2007
0	0	2007	58	pl.scars	2007
0	0	2007	56	pl.scars	2007
0	0	2007	23	pl.scars	2007
0	0	2007	52	pl.scars	2007
1	2	2007	35	pl.scars	2007
0	0	2007	60	pl.scars	2007
0	0	2007	56	pl.scars	2007
0	1	2007	58	pl.scars	2007
1	1	2008	14	pl.scars	2008
0	0	2008	59	pl.scars	2008
1	6	2008	49	pl.scars	2008
0	0	2008	30	pl.scars	2008
0	0	2008	16	pl.scars	2008
0	1	2008	48	pl.scars	2008
1	1	2008	46	pl.scars	2008
1	1	2008	48	pl.scars	2008
0	0	2008	43	pl.scars	2008
1	2	2008	59	pl.scars	2008
0	0	2008	31	pl.scars	2008
1	2	2009	56	pl.scars	2009
1	2	2009	56	pl.scars	2009
0	0	2009	7	pl.scars	2009
0	0	2010	31	pl.scars	2010
0	0	2010	58	pl.scars	2010
0	2	2010	59	pl.scars	2010
1	1	2010	18	pl.scars	2010
0	0	2010	21	pl.scars	2010
0	0	2010	13	pl.scars	2010
0	0	2010	12	pl.scars	2010
0	0	2010	41	pl.scars	2010
0	0	2010	43	pl.scars	2010
1	1	2010	60	pl.scars	2010
0	0	2010	38	pl.scars	2010
0	0	2011	43	pl.scars	2011
0	0	2011	45	pl.scars	2011
0	0	2011	54	pl.scars	2011
0	0	2011	43	pl.scars	2011
0	0	2011	35	pl.scars	2011
0	1	2011	59	pl.scars	2011
0	0	2011	17	pl.scars	2011
0	0	2011	34	pl.scars	2011
0	0	2011	42	pl.scars	2011
0	0	2011	50	pl.scars	2011
1	1	2011	50	pl.scars	2011
1	1	2011	54	pl.scars	2011
0	0	2012	50	pl.scars	2012
1	1	2012	36	pl.scars	2012
1	1	2012	52	pl.scars	2012
1	2	2013	34	pl.scars	2013
1	3	2013	34	pl.scars	2013
0	0	2013	18	pl.scars	2013
1	2	2013	36	pl.scars	2013
0	2	2013	41	pl.scars	2013
